num,name,smiles
219,ChemBL,C#CC1(CCCCC1)OCC(CN(CC1)CCN1c1cccc(C(F)(F)F)c1)O
220,ChemBL,C[N+]1(C)C(COC(C(C2CCCCC2)(c2ccccc2)O)=O)CCC1
221,ChemBL,C[N+]1(C)CCN(CC(C2CCCCC2)(c2ccccc2)O)CC1
222,ChemBL,C[C@@H](CC(C1)=C)[C@@H]([C@@H](C2)N(CC3CCC3)CC3)[C@@]13c1c2ccc(O)c1
223,ChemBL,CCC1(C(C)(C)C(C2)N(CC3CCC3)CC1)c1c2ccc(O)c1
224,ChemBL,CCCC(CCC)CC1CCN(CCO)CC1
225,ChemBL,CCCCOc(c(OC)cc(C(OCCN1CCCC1)=O)c1)c1OC
226,ChemBL,CCOc(ccc(CC(c1c2)=NCCc1cc(OC(C)C)c2OC(C)C)c1)c1OCC
227,ChemBL,COc(cccc1)c1OCCOCCOCCN1CCCCC1
228,ChemBL,C[N+](C)(CCCCC(c1ccccc1)(c1ccccc1)C#N)CC[N+]1(C)CCOCC1
229,ChemBL,C[C@]1(CC2)C(c3cnccc3)=CC[C@@H]1[C@@H]1[C@@H]2[C@](C)(CC[C@H](C2)OC(C)=O)C2=CC1
230,ChemBL,CCC(C)(C)c1ccc(CC(C)CN2C[C@H](C)O[C@H](C)C2)cc1
231,ChemBL,CCCCCCCCCCCCN(CCCCC1)C1=O
232,ChemBL,NCCNC1CCC(CC(NC2Cc3cccc(C(O)=O)c3OB2O)=O)CC1
233,ChemBL,C[C@H](C(O)=O)NC([C@@H](CCC(O)=O)NC(CCCC[C@@H]1SSCC1)=O)=O
234,ChemBL,NCCCC[C@@H](C(N(CCC1)[C@@H]1C(O)=O)=O)N[C@@H](CCc1ccccc1)C(O)=O
235,ChemBL,CC(CNC1CCN(Cc(cc2)ccc2Cl)CC1)(COc(cc(cc1)O)c1NC(C)=O)O
236,ChemBL,O[C@@H]([C@@H](CN(CCCl)CCCl)OC([C@@H]1O)O)[C@@H]1O
